Date tweeted,username,display_name,Tweets,Number_of_Likes,Number_retweets,Source_of_Tweet,number_of_followers,location
2023-01-10 00:55:31+00:00,arinzechinono,Noni Banks,@atiku I thought dey say you dey sick that's why they rush you go UK 🇬🇧 hmm reason with me baba,0,0,Twitter for Android,77,
2023-01-10 00:55:28+00:00,Churchillstain,Emeghara churchill,So how will someone listen to this man and others and choose BAT or Atiku? Make it make sense! https://t.co/g5w4T8DwWp,0,0,Twitter for Android,614,Nigeria
2023-01-10 00:55:28+00:00,Gearmanoo,GEARMAN DAVE,@AreaFada1 Atiku and the 40 fulani thefts,0,0,Twitter Web App,0,
2023-01-10 00:55:25+00:00,muktarrlfc,muktar.atiku,@AtikuIsmail_ Almost dropped a tear at the end,0,0,Twitter for Android,84,"Kaduna, Nigeria"
2023-01-10 00:54:57+00:00,thedrawgod,𝐓𝐡𝐞 𝐌𝐚𝐧 𝐌𝐚𝐧𝐢𝐩𝐮𝐥𝐚𝐭𝐨𝐫 🏆🍀,"STOP WASTING MONEY❗️❗️

SPORTYBET CODE🥇

30K ODDS 

GET CORRECT FREE EDITS AND CODE HERE 👇👇

https://t.co/QCrhwtPzWd

RECOVER YOUR LOST HERE 👆

Asuu tinubu and atiku Lekki jamb  betking bet9ja melbet 
1xbet bet365 wizkid davido #EFCC  ipob Peter obi fire boy Nigeria foolish https://t.co/h6qVZudniG",0,0,Twitter for iPhone,838,
2023-01-10 00:54:48+00:00,laureen42,mchidngoka,@duchessmabboud Peter Obi leads in all polls to date . Get your minds around all of that . He will win 2023 resoundingly. Nobody is about to vote for BAT / Atiku because of posters . The consequences are too grave .,0,0,Twitter for iPhone,17,"Lagos, Nigeria"
2023-01-10 00:54:44+00:00,de_prof_de_chef,lifemoneyhealth,"@atiku To be sincere @atiku , when a person start having a grey hair, you can't hide it. 
†† Baba you don Old. 
In Donald duke voice...... Leave this hope of becoming Nigeria president. Let Peter Obi be. 
Nigeria will be better off with Peter Obi presidency.",0,0,Twitter for Android,346,"Lagos, Nigeria"
2023-01-10 00:54:11+00:00,Churchillstain,Emeghara churchill,@JaypeeGeneral @ObiDientTvHQ @urchilla01 @UchePOkoye So how will someone listen to this man and others and choose BAT or Atiku? Make it make sense!,0,0,Twitter for Android,614,Nigeria
2023-01-10 00:53:45+00:00,natoobinna,Anaetoh Obinna,"@jcokechukwu I will break it down a little bit.
Last election, Atiku/ Obi was planted to deceive mumu people.

Now, Atiku is their main frontier because of Buhari ghost then Obiidiots gathering fellow mumu people.

Our mumu Don Do. Biafra with ife niile maka chi!!!",0,0,Twitter for Android,15,Canada
2023-01-10 00:53:42+00:00,PilotAfrican,West African Pilot News,"NBA Conference: Chimamanda Adichie Decries Leadership Deficit as Obi, Atiku, Others Unveil 2023 Agenda https://t.co/QiRdEh2jk3 #boldthemes",0,0,Revive Social App,99,"Houston, Texas"
2023-01-10 00:53:02+00:00,theobam,EKITIBOYFORPETEROBI.,@WOyetunde @atiku Stray bullet 😃😃😃😀,0,0,Twitter for iPhone,3865,LAGOS
2023-01-10 00:52:54+00:00,MannirSarki2,Mannir Sarki,@SenBaraka @atiku The Queen of kano politics,0,0,Twitter for Android,22,"Kano, Nigeria"
2023-01-10 00:52:51+00:00,harrytula4real,Adetula Harry Gbenga,"@Chrisbamidele 1999 - 2007, today he his posting a letter nominating him into campaign committe and support group member of Atiku Abubakar dated 2021. That's error no. one /2",0,0,Twitter Web App,66,"Abuja, Nigeria."
2023-01-10 00:52:28+00:00,Abbakarmalami35,Abubakar Malami,@atiku Assalam ranka  yadade barka  war haka Allah ta'allah yakara sutura  yakuma  cika muradi muna Neman taimaka saboda cikin wani yanayi Na bukatar taimako ataimaka muna cikin arzikinan da Alla yayimaka don alfarma ma'aiki ( s a w),0,0,Twitter for Android,11,
2023-01-10 00:52:27+00:00,fortuneamadi16,Coastal Prince,Those who shout cronyism as propoganda stunt are responsible for our dalema. Imagine what would've been our situation if president Yardua wasn't stampeded to reverse Obasanjo/Atiku's privatization of Refineries in 2007. Those who want the status quo to remain are really mad. https://t.co/eFqBtAT9Bb,0,0,Twitter for Android,365,"Port Harcourt, Nigeria"
2023-01-10 00:52:03+00:00,riskmap_,RiskMap,"⚡️ Influential Northern Former Governor Dumps Apc, Defects To Pdp, Vows To Work For Atiku https://t.co/1HmLZJ0UCw #news #riskmap https://t.co/GFAotaeMvv",0,0,dlvr.it,15928,"Boston, MA"
2023-01-10 00:52:02+00:00,IgereVictor7,Igere Victor,"@realFFK My joy is that, OBJ has the right description for you and no sane Nigerians will take you serious. Atiku Abubakar, your in coming president is in the united kingdom having meetings with world political strategists and you are some where around a town hall that's different from",0,0,Twitter for Android,12,
2023-01-10 00:51:50+00:00,iam_abdulyunusa,Abdullahi Yunusa,😂😂 Atiku kuma? https://t.co/mvnbxTb4Fn,0,0,Twitter for iPhone,549,
2023-01-10 00:51:07+00:00,UOnyegbulem,Ugochukwu Onyegbulem,@atiku Up pdp for real,0,0,Twitter for Android,89,
2023-01-10 00:50:21+00:00,realgody,Goddy,@atiku Very shameful! When will all you politicians build good hospitals in your own country. You can fly out for treatment but the poor you are asking for their vote cannot,0,0,Twitter for iPhone,91,"Georgia, USA"
2023-01-10 00:49:59+00:00,_PDAPC,Peace,@renoomokri Your Atiku efforts will be futile. Mark my words. Atiku will never smell Aso rock,0,0,Twitter for Android,1,
2023-01-10 00:49:14+00:00,emmanuelelle,38,@atiku @Abu_swag In London to recover Nigeria 🤡,0,0,Twitter for iPhone,1099,Hell
2023-01-10 00:48:59+00:00,Ochedumoga,Godfrey Amali,Atiku Dey dey Oyoyo!!!! https://t.co/rme3hQPcFo,0,0,Twitter for iPhone,6,Nigeria
