Date tweeted,username,display_name,Tweets,Number_of_Likes,Number_retweets,Source_of_Tweet,number_of_followers,location
2023-01-04 12:19:49+00:00,exquisiteOG,ogbeide Ifaluyi-Isibor,"@iamchinedunwosu @atiku @IAOkowa @atiku is a decent politician and a nice guy! However, our nation is in distress and the people are in despair. We are at crossroads and the 2023 is a defining year. While Atiku is okay, @PeterObi best represents what Nigeria needs now to salvage our nation and we trust him.",0,0,Twitter for Android,9295,Abuja
2023-01-04 12:19:49+00:00,nobians,Nobians Emmanuel,@renoomokri Oga you are day dreaming both of them will step down for Peter obi ok,0,0,Twitter for Android,12,"Asaba, Nigeria"
2023-01-04 12:19:44+00:00,AnibuezeChukwu1,Anibueze Chukwuebuka,"Obi's success is your success. Tambuwa was Wikes best friend until he showed wike shege and endorsed Atiku. Fulanization is real, don't be deceived. Vote Peter Obi for your benefit",0,0,Twitter for Android,13,
2023-01-04 12:19:22+00:00,ObinnaM51129376,Address Obi,@Tinubu2023_ @PeterObi U just shot urself on the foot..,0,0,Twitter for Android,176,
2023-01-04 12:19:19+00:00,joize_HB,#yar'albarka,@Mallam_jabeer @PeterObi Shebi na bcos u fyn🙄,0,0,Twitter for Android,15,"Bauchi, Nigeria"
2023-01-04 12:19:10+00:00,tonydaymn10,Anthony Daymn💙,"The arrogance of these ancestors is what I hate most.
 Someone needs to tell @OfficialAPCNg that power belongs to Nigerians and its for us to decide who will lead us. 
We chose #PeterObi and any attempt to manipulate the results will be met with serious consequences!!! https://t.co/nZ07Tyzv7d",0,0,Twitter for Android,514,anywhere and everywhere..
2023-01-04 12:19:07+00:00,Georgebabs7,The Purveyor of Truth,"@_dinomelaye Why are the Cabals in Nigeria afraid of Peter Obi ? Because they are scared that PO will restructure Nigeria &amp; their means of looting, stealing, sabotaging and illegal means of enriching themselves will be exposed and block. ATIKU &amp; TINUBU are part of the darkness,they are UNFIT",0,0,Twitter for Android,388,"Houston, TX"
2023-01-04 12:19:03+00:00,Aloo_Tordue,Benue Voice 🕊,"Why are we not not following each other?

Please help me to reach 5k followers. 🙏🏿🙏🏿

#MUFC
Cristiano Ronaldo  Vidic Bank portable Manchester United Erik Ten hag Japa Rafael Leao INEC Steff pele Messi Vote Peter obi thiefnubu",0,0,Twitter for Android,4131,Cambodia
2023-01-04 12:19:00+00:00,JayAsamonye,JASON 🔴,"@sunbebe1 @teguando1 @atiku @PeterObi @officialABAT @inecnigeria Anything that makes you sleep, it's Obvious you guys down play the sufferings of Nigerians. This election will not be delivered by politicians but by Nigerians, you just wait and see.",0,0,Twitter Web App,582,
2023-01-04 12:18:58+00:00,_Oluwadarasimi,Julius Oluwadarasimi,@Babatunde1718 @PeterObi Seyi lekansi!,0,0,Twitter for Android,2642,"Ibadan, Nigeria"
2023-01-04 12:18:58+00:00,nkwachukwu85,Udochukwu Collins,"@PeterObi Dear Mr President, Mr Peter Obi your cabinet should look like this;
1. Mr Femi Falana SAN - Min of Justice/AGF
2. Barr Nyesom Wike - Min for Petroleum Resources
3. Aisha Yesufu - Min of Woman Affairs
4. Oby Ezekwesili - Min of Finance",0,0,Twitter for Android,11,
2023-01-04 12:18:57+00:00,ab_foods,AB Foods ( Palm Oil ),@FummyzzyGmail @PeterObi Pls accept our heart felt condolences! May her soul Rest In Peace ☮️ Amen 🙏.,0,0,Twitter for iPhone,2172,West Africa
2023-01-04 12:18:52+00:00,Centino_OG,CENTOG,@_Oluwadarasimi @PeterObi Same here OBI LOKAN Nigerians lo kan https://t.co/JgMhWfqXYu,0,1,Twitter for Android,40,"Akure, Nigeria"
2023-01-04 12:18:46+00:00,CAbaraonye,Chigozie A,"E dey choke me ooo when people say this person said we should vote for this person or that person, is your experience the last few year not enough to tell you who to vote for. Vote right now and avoid long prayer points. PETER OBI",0,0,Twitter for Android,130,
