Date tweeted,username,display_name,Tweets,Number_of_Likes,Number_retweets,Source_of_Tweet,number_of_followers,location
2023-01-01 00:57:22+00:00,pmparrotng,PM Parrot,"The immediate past Osun Governor and Osun Coordinator for Tinubu/Shettima 2023 Presidential Campaign Council, PCC, Adegboyega Oyetola, has felicitated Osun Citizens and Nigerians on the occasion of the New Year celebration, urging them to approach the

https://t.co/Cav5WcVaY9 https://t.co/j7ZJUf7nFL",0,0,Blog2Social APP,1317,
2023-01-01 00:57:18+00:00,ImportantSomeb2,Important Somebody,This year go hot ohh... Even tinubu self post 😪👏💥,0,0,Twitter for Android,0,"Ejigbo, Nigeria"
2023-01-01 00:57:16+00:00,emmanulos,Amoda Ogunlere,@MaaziEzeoke @officialABAT @OfficialAPCNg God abeg,0,0,Twitter for Android,188,
2023-01-01 00:57:09+00:00,JasperIzuchukwu,Obi's First Son 💯,"@Qdpaper2 Always looking dirty and bagger! Keep fooling yourself on social media, even Tinubu son Seyi never fool himself as you do with your hunter shoes and palm wine tapper belt

The worse part of it is that, Tinubu supporters don't have shame starting from @realFFK down to @Fkeyamo https://t.co/uxtOTkryo3",0,0,Twitter for Android,201,
2023-01-01 00:56:23+00:00,nkuwz,nk,"@adamugarba All this your sycophantic jargon is silly and unnecessary.., if @ProfOsinbajo as Vice President is @officialABAT legacy, then the President @MBuhari is also his legacy..",0,0,Twitter for Android,3,
2023-01-01 00:56:08+00:00,Spiritsize,Andromedan,@woye1 I didn't see Tinubu in Oṣùn... What happened?,0,0,Twitter for Android,308,"Lagos, Nigeria"
2023-01-01 00:56:00+00:00,_Emeka_04_,Emeka Emeka,"@NelOsuji @BOGbadams I prayed o... I prayed really hard this night in church...
Let tinubu and his immediate younger brother atiku not see that office...",0,0,Twitter for Android,1231,"Port Harcourt, Nigeria"
2023-01-01 00:55:50+00:00,Worule_Cool,THA GREAT,"I Have Never Seen Someone Who Loves Northerners Like Tinubu, Our Votes Are Going To Him- Ganduje https://t.co/5O6IBZ96X2",0,0,Jetpack.com,16160,ON THE MARATHON
2023-01-01 00:55:48+00:00,wolecypher,Wolecypher,"I Have Never Seen Someone Who Loves Northerners Like Tinubu, Our Votes Are Going To Him- Ganduje https://t.co/uKGIUojbNE",0,0,Jetpack.com,21084,Somewhere around
2023-01-01 00:55:46+00:00,dayyabaliyu11_3,dayyabu aliyu,@Qdpaper2 @Delejackson4 Tinubu support organisation sokoto,0,0,Twitter for Android,28,
2023-01-01 00:55:45+00:00,NG_DailyNews,Ngdailynews.ng,"I Have Never Seen Someone Who Loves Northerners Like Tinubu, Our Votes Are Going To Him- Ganduje https://t.co/pYfeOO0c0c",0,0,Jetpack.com,10118,"Lagos, Nigeria"
2023-01-01 00:55:41+00:00,soloakon,sol,@Dec_Uche @GazetteNGR They need Tinubu to win so they can cover their track.,0,0,Twitter for iPhone,652,lagos nigeria
2023-01-01 00:54:44+00:00,ogennah,henry🇳🇬🇩🇪,@Mayordavid_9 @Yemi__Ajayi We don't want thief Tinubu. A known criminal and drug lord. In a sane country. Tinubu can never smell local government chairman talk more of contesting for president. Criminals,0,0,Twitter for Android,18,
2023-01-01 00:54:33+00:00,abnonlinetv,ABN TV,"I Didn’t Hold Any Meeting With @OfficialPDPNig  G-5 Governors In London, Says Tinubu https://t.co/dqbiLNDsYg via @abnonlinetv",0,0,Twitter Web App,986,Nigeria
